FN (N/m)	AA (deg)	MS	LA (deg)	CA (deg)	TWD (mm)	BWD (mm)	SWD (mm)
5	-12	0.0348	6.69	93.27	3.72	5.56	8.98
6	-12	0.0498	9.78	90.01	3.66	5.59	9.01
7	-12	0.0539	10.49	89.64	3.64	5.59	9.02
8	-12	0.0575	11.09	89.5	3.62	5.59	9.01
9	-12	0.0613	11.74	89.34	3.6	5.59	9.01
10	-12	0.0837	16.47	85.42	3.47	5.59	9.03
12	-12	0.1188	26.09	72.12	3.14	5.41	8.99
14	-12	0.1169	25.56	73.42	3.15	5.44	8.96
16	-12	0.1176	25.96	72.39	3.13	5.42	8.96
18	-12	0.1184	26.29	71.36	3.11	5.4	8.95
20	-12	0.1193	26.66	70.22	3.09	5.38	8.94
25	-12	0.126	27.69	66.75	3.03	5.33	8.91
30	-12	0.1344	28.96	62.14	2.94	5.25	8.87
35	-12	0.1458	30.51	56.06	2.83	5.15	8.81
40	-12	0.1628	32.5	47.55	2.65	4.98	8.71
45	-12	0.1904	35.11	35.78	2.38	4.72	8.53
50	-12	0	0	0	0	0	0
55	-12	0	0	0	0	0	0
60	-12	0	0	0	0	0	0
5	-10	0.0425	8.31	89.84	3.62	5.43	8.74
6	-10	0.0461	8.92	89.61	3.61	5.43	8.73
7	-10	0.0497	9.51	89.47	3.59	5.43	8.73
8	-10	0.075	14.83	84.68	3.44	5.43	8.74
9	-10	0.1009	20.54	78.39	3.26	5.39	8.7
10	-10	0.1156	25.36	72.12	3.08	5.25	8.67
12	-10	0.1165	25.66	71.27	3.06	5.23	8.65
14	-10	0.1177	26.01	70.24	3.04	5.21	8.64
16	-10	0.1191	26.39	69.11	3.02	5.19	8.63
18	-10	0.1207	26.8	67.86	2.99	5.17	8.62
20	-10	0.1226	27.23	66.47	2.96	5.15	8.61
25	-10	0.1304	28.47	62.3	2.88	5.07	8.57
30	-10	0.1402	29.91	56.97	2.77	4.97	8.51
35	-10	0.154	31.68	49.92	2.63	4.83	8.42
40	-10	0.1743	33.89	40.45	2.41	4.62	8.28
45	-10	0.1993	36.03	29.46	2.13	4.37	8.07
50	-10	0.2237	38.05	18.91	1.87	4.12	7.86
55	-10	0.2537	40.4	7.48	1.56	3.83	7.61
60	-10	0.276	42.18	0.49	1.3	3.58	7.4
5	-8	0.0381	7.3	89.58	3.58	5.27	8.44
6	-8	0.0416	7.88	89.43	3.56	5.27	8.44
7	-8	0.0681	13.47	83.99	3.41	5.27	8.44
8	-8	0.0931	19.08	77.85	3.23	5.22	8.4
9	-8	0.1153	24.64	71.5	3.02	5.1	8.33
10	-8	0.1168	25.6	69.5	2.97	5.03	8.33
12	-8	0.1182	25.99	68.38	2.95	5.01	8.31
14	-8	0.1198	26.41	67.17	2.92	4.99	8.3
16	-8	0.1216	26.84	65.83	2.89	4.96	8.28
18	-8	0.1235	27.32	64.36	2.86	4.93	8.27
20	-8	0.1259	27.82	62.74	2.83	4.9	8.25
25	-8	0.1348	29.21	57.97	2.73	4.81	8.19
30	-8	0.146	30.8	51.95	2.6	4.68	8.12
35	-8	0.1615	32.7	44.2	2.42	4.51	8
40	-8	0.1821	34.78	34.68	2.19	4.28	7.83
45	-8	0.208	36.93	23.78	1.9	4.01	7.6
50	-8	0.2301	38.82	13.88	1.65	3.77	7.39
55	-8	0	0	0	0	0	0
60	-8	0	0	0	0	0	0
5	-6	0.0526	10.57	84.86	3.43	5.11	8.16
6	-6	0.0442	8.41	87.51	3.48	5.12	8.15
7	-6	0.0704	13.99	81.39	3.32	5.1	8.13
8	-6	0.0951	19.58	75.27	3.13	5.02	8.08
9	-6	0.1152	24.92	69.01	2.91	4.88	7.99
10	-6	0.1182	25.87	66.79	2.87	4.82	7.98
12	-6	0.12	26.32	65.5	2.84	4.79	7.96
14	-6	0.1219	26.8	64.09	2.8	4.76	7.95
16	-6	0.124	27.28	62.58	2.77	4.73	7.93
18	-6	0.1263	27.8	60.94	2.73	4.69	7.91
20	-6	0.129	28.34	59.13	2.69	4.65	7.88
25	-6	0.139	29.9	53.75	2.57	4.53	7.81
30	-6	0.1518	31.65	47.08	2.42	4.38	7.71
35	-6	0.1689	33.66	38.73	2.21	4.18	7.56
40	-6	0.1885	35.49	29.44	1.97	3.95	7.37
45	-6	0.2148	37.69	19	1.69	3.68	7.14
50	-6	0.2356	39.54	9.18	1.43	3.43	6.92
55	-6	0.2588	41.49	1.15	1.16	3.16	6.69
60	-6	0.2834	43.04	0	0.97	2.98	6.54
5	-4	0.0442	8.55	85.12	3.42	4.97	7.86
6	-4	0.067	13.61	79.62	3.26	4.92	7.84
7	-4	0.0914	19.16	73.58	3.06	4.83	7.77
8	-4	0.1149	24.79	67.34	2.83	4.69	7.66
9	-4	0.1186	25.88	64.8	2.77	4.61	7.64
10	-4	0.1196	26.13	64.09	2.75	4.6	7.63
12	-4	0.1217	26.62	62.66	2.72	4.56	7.61
14	-4	0.1239	27.13	61.1	2.68	4.53	7.59
16	-4	0.1264	27.68	59.4	2.64	4.49	7.56
18	-4	0.1291	28.27	57.52	2.6	4.45	7.54
20	-4	0.1322	28.91	55.46	2.55	4.4	7.51
25	-4	0.1431	30.58	49.56	2.41	4.25	7.41
30	-4	0.1573	32.42	42.37	2.23	4.07	7.29
35	-4	0.1744	34.33	33.91	2.01	3.86	7.12
40	-4	0.1975	36.33	24.37	1.74	3.6	6.9
45	-4	0.2183	38.24	14.63	1.49	3.35	6.68
50	-4	0.2406	40.22	4.66	1.21	3.08	6.45
55	-4	0.2619	42.01	0	0.97	2.84	6.25
60	-4	0.2812	43.26	0	0.83	2.7	6.12
5	-2	0.0601	12.39	78.8	3.23	4.76	7.56
6	-2	0.0838	17.85	72.9	3.04	4.66	7.49
7	-2	0.1081	23.49	66.76	2.8	4.51	7.36
8	-2	0.1187	25.84	62.92	2.68	4.41	7.3
9	-2	0.1198	26.1	62.18	2.66	4.39	7.29
10	-2	0.121	26.36	61.43	2.64	4.38	7.28
12	-2	0.1233	26.9	59.83	2.6	4.34	7.25
14	-2	0.126	27.49	58.07	2.56	4.29	7.23
16	-2	0.1289	28.11	56.16	2.51	4.24	7.2
18	-2	0.132	28.76	54.08	2.46	4.19	7.16
20	-2	0.1354	29.45	51.83	2.41	4.13	7.12
25	-2	0.1471	31.22	45.46	2.24	3.97	7.01
30	-2	0.1627	33.14	37.85	2.04	3.76	6.86
35	-2	0.1808	35.01	29.21	1.81	3.53	6.66
40	-2	0.2034	37.02	19.62	1.54	3.27	6.43
45	-2	0.223	38.87	10.21	1.28	3.02	6.22
50	-2	0.244	40.81	1.7	1.01	2.74	5.98
55	-2	0.262	42.32	0	0.81	2.54	5.81
60	-2	0.2862	43.62	0	0.69	2.43	5.71
5	0	0.0746	16.26	72.52	3.02	4.5	7.21
6	0	0.1004	21.97	66.29	2.78	4.35	7.08
7	0	0.1185	25.73	61.22	2.59	4.21	6.96
8	0	0.1198	26.03	60.38	2.57	4.19	6.95
9	0	0.121	26.31	59.58	2.55	4.17	6.94
10	0	0.1223	26.6	58.75	2.53	4.15	6.92
12	0	0.1251	27.21	56.96	2.48	4.1	6.89
14	0	0.1281	27.86	55.03	2.43	4.05	6.86
16	0	0.1313	28.54	52.93	2.38	3.99	6.82
18	0	0.1349	29.24	50.67	2.32	3.93	6.78
20	0	0.1387	29.98	48.21	2.25	3.86	6.73
25	0	0.1512	31.81	41.46	2.08	3.68	6.6
30	0	0.1672	33.67	33.66	1.86	3.46	6.43
35	0	0.186	35.59	24.78	1.6	3.21	6.21
40	0	0.2071	37.54	15.42	1.34	2.95	5.98
45	0	0.229	39.6	5.69	1.06	2.67	5.74
50	0	0.2463	41.33	0	0.82	2.42	5.53
55	0	0.2606	42.54	0	0.67	2.26	5.39
60	0	0.2718	43.46	0	0.57	2.16	5.31
5	2	0.0846	18.55	67.95	2.84	4.26	6.85
6	2	0.1116	24.33	61.64	2.58	4.08	6.67
7	2	0.1195	25.91	58.71	2.49	4	6.61
8	2	0.1209	26.22	57.85	2.46	3.97	6.59
9	2	0.1223	26.54	56.96	2.44	3.95	6.58
10	2	0.1238	26.86	56.04	2.41	3.92	6.56
12	2	0.1269	27.53	54.09	2.36	3.87	6.53
14	2	0.1302	28.23	51.98	2.3	3.81	6.48
16	2	0.1338	28.95	49.71	2.24	3.74	6.44
18	2	0.1378	29.71	47.26	2.17	3.67	6.39
20	2	0.1418	30.47	44.68	2.1	3.59	6.34
25	2	0.1552	32.37	37.53	1.9	3.39	6.18
30	2	0.1716	34.19	29.56	1.68	3.16	5.99
35	2	0.1922	36.25	20.34	1.4	2.88	5.74
40	2	0.2128	38.21	11.1	1.14	2.61	5.52
45	2	0.231	40.06	2.2	0.87	2.34	5.28
50	2	0.2474	41.72	0	0.66	2.11	5.09
55	2	0.2575	42.69	0	0.54	1.99	4.98
60	2	0.2671	43.57	0	0.45	1.89	4.9
5	4	0.0949	20.91	63.3	2.65	4	6.45
6	4	0.1178	25.53	57.76	2.42	3.82	6.28
7	4	0.1205	26.09	56.22	2.38	3.78	6.26
8	4	0.122	26.43	55.29	2.35	3.75	6.24
9	4	0.1236	26.77	54.33	2.32	3.72	6.22
10	4	0.1252	27.12	53.33	2.29	3.69	6.2
12	4	0.1287	27.84	51.21	2.24	3.63	6.16
14	4	0.1324	28.59	48.94	2.17	3.56	6.11
16	4	0.1364	29.37	46.49	2.1	3.48	6.06
18	4	0.1406	30.17	43.88	2.03	3.4	6
20	4	0.1448	30.94	41.17	1.95	3.32	5.94
25	4	0.1591	32.84	33.76	1.73	3.1	5.76
30	4	0.1756	34.69	25.52	1.49	2.85	5.54
35	4	0.1953	36.71	16.38	1.21	2.57	5.3
40	4	0.2164	38.74	6.97	0.94	2.28	5.05
45	4	0.2333	40.54	0.25	0.69	2.02	4.82
50	4	0.2475	42	0	0.52	1.83	4.67
55	4	0.2549	42.85	0	0.42	1.72	4.58
60	4	0.2605	43.66	0	0.34	1.63	4.5
5	6	0.1043	22.78	59.2	2.47	3.74	6.06
6	6	0.1197	25.87	54.83	2.3	3.59	5.93
7	6	0.1215	26.28	53.74	2.27	3.56	5.9
8	6	0.1232	26.64	52.73	2.24	3.53	5.88
9	6	0.1249	27.01	51.69	2.21	3.49	5.86
10	6	0.1267	27.38	50.61	2.17	3.46	5.83
12	6	0.1305	28.16	48.33	2.11	3.39	5.78
14	6	0.1345	28.95	45.89	2.04	3.31	5.73
